"Payment method code is undefined.","Payment method code is undefined."
"Payment profile is invalid:\n%s","Payment profile is invalid:\n%s"
"Processor Id","プロセッサID"
"Purchase Order","注文書"
"Purchase Order Number","注文書番号"
"Purchase Order Number:","注文書番号:"
"Purchase Order Number: %s","注文書番号: %s"
"Recurring Profile Start Date","定期購入開始日"
"Recurring profile start date has invalid format.","定期購入開始日が不正な形式です。"
"Reference ID is not set.","Reference ID is not set."
"Repeats %s time(s).","Repeats %s time(s)."
"Repeats until suspended or canceled.","Repeats until suspended or canceled."
"Request Card Security Code","セキュリティコードを要求する"
"Saved CC","保存済クレジットカード"
"Schedule Description","スケジュール概要"
"Schedule description must be not empty.","スケジュール概要を入力してください。"
"Send Check to","小切手の宛先"
"Send Check to:","小切手の宛先を指定:"
"Severe 3D Secure Card Validation","厳密な3Dセキュアカード検証を行う"
"Severe validation removes chargeback liability on merchant.","Severe validation removes chargeback liability on merchant."
"Shipping Amount","Shipping Amount"
"Short description of the recurring payment. By default equals to the product name.","定期支払の簡単な説明、デフォルトで商品名と一致します"
"Start Date","開始日"
"Start date has invalid format.","開始日が不正な形式です。"
"Start date is undefined.","開始日が未定義です。"
"Subscriber Name","購読者名"
"Switch/Solo Issue Number","Switch/Solo取引番号"
"Switch/Solo Only","Switch/Soloのみ"
"Switch/Solo Start Date","Switch/Solo開始日"
"Tax Amount","Tax Amount"
"Test Mode","テストモード"
"The date when billing for the profile begins.","The date when billing for the profile begins."
"The number of billing cycles for payment period.","The number of billing cycles for payment period."
"The number of scheduled payments that can fail before the profile is automatically suspended.","The number of scheduled payments that can fail before the profile is automatically suspended."
"The payment review action is unavailable.","支払レビューは利用できません。"
"Trial Billing Amount","Trial Billing Amount"
"Trial Billing Frequency","Trial Billing Frequency"
"Trial Billing Period Unit","お試し期間"
"Trial Period","Trial Period"
"Trial billing period unit is wrong.","Trial billing period unit is wrong."
"Two Weeks","Two Weeks"
"Unable to save Billing Agreement:","請求同意書を保存できません:"
"Unit for billing during the subscription period.","Unit for billing during the subscription period."
"Unsupported currency code: %s.","未サポートの通貨コードです: %s."
"Week","週"
"What is this?","これは何？"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance."
"Wrong %s specified.","Wrong %s specified."
"Wrong or empty billing amount specified.","正しくない請求額が指定されました"
"Year","年"
"Zero Subtotal Checkout","ゼロ合計チェックアウト"
"Continue shipping","続ける"
"Back to payment method","支払方法に戻る"
"Processor ID","プロセッサID"
