"Active","有効"
"Change status, add comments","ステータス変更、コメント追加"
"Checkout Totals Sort Order","チェックアウト合計表示順"
"Click to change shipping method","クリックして配送方法を変更"
"Closed","クローズド"
"Comma-separated.","Comma-separated."
"Comment","コメント"
"Comment Text","コメントテキスト"
"Comments","コメント"
"Comments History","コメント履歴"
"Complete","完了"
"Coupons","クーポン"
"Create","作成"
"Create New Customer","新規お客さま作成"
"Create New Order","注文新規作成"
"Create New Order for %s","%sの注文を新規作成する"
"Create New Order for %s in %s","%sの注文を%sで新規作成する"
"Create New Order for New Customer","新規お客さまの注文を新規作成する"
"Create New Order for New Customer in %s","%sの新規お客さまの注文を新規作成する"
"Create Shipment","配送伝票作成"
"Create new invoice for order","注文の新しい領収を作成する"
"Create new shipment for order","注文の新しい配送伝票を作成する"
"Create...","作成..."
"Created At","作成日"
"Created billing agreement #%s.","請求同意書No.%s を作成しました。"
"Created:","作成:"
"Credit Memo","クレジットメモ"
"Credit Memo #","クレジットメモ #"
"Credit Memo # ","クレジットメモ #"
"Credit Memo #%1$s | %3$s | %2$s (%4$s)","クレジットメモ #%1$s | %3$s | %2$s (%4$s)"
"Credit Memo Comment Email Sender","クレジットメモコメントメール送信者"
"Credit Memo Comment Email Template","クレジットメモコメントメールテンプレート"
"Credit Memo Comment Email Template for Guest","ゲスト用クレジットメモコメントメールテンプレート"
"Credit Memo Comments","クレジットメモコメント"
"Credit Memo Email Sender","クレジットメモメール送信者"
"Credit Memo Email Template","クレジットメモメールテンプレート"
"Credit Memo Email Template for Guest","ゲスト用クレジットメモメールテンプレート"
"Credit Memo Update","クレジットメモ更新"
"Credit Memo Update for Guest","お客さまクレジット情報更新"
"Credit Memos","クレジットメモ"
"Creditmemo","クレジットメモ"
"Custom Options","カスタムオプション"
"Custom Price","お客さま価格"
"Custom Value","カスタム値"
"Customer Can Define Start Date","お客さまは開始日を指定可能"
"Customer Email","お客さまメール"
"Customer Last Name","お客さま姓"
"Customer My Account Order Creditmemo View","マイアカウント返金履歴"
"Customer My Account Order History","マイアカウント注文履歴"
"Customer My Account Order Invoice View","マイアカウント領収履歴画面"
"Customer My Account Order Shipment View","マイアカウント配送履歴画面"
"Customer My Account Order View","マイアカウント注文履歴"
"Customer Name","お客さま名"
"Customer\'s Current Activities","お客さまの最近の動向"
"Date Shipped","配送日"
"Date of Birth","生年月日"
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)","PDFやHTMLドキュメントでは、デフォルトロゴが使用されます。<br />(jpeg, tiff, png)"
"Denied the payment online.","オンライン決済拒否"
"Deny Payment","決済拒否"
"Description Message","説明文"
"Discount","値引き"
"Discount (%s)","値引(%s)"
"Display Order ID in Header","ヘッダに注文IDを表示"
"Edit Gift Messsage","ギフトメッセージを編集"
"Edit Order","注文編集"
"Edit Order #%s","注文の編集 No.%s"
"Email Copy of Credit Memo","メールでお客さまに通知"
"Email Copy of Invoice","メールでお客さまに通知"
"Email Copy of Shipment","メールでお客さまに通知"
"Email Order Confirmation","メール注文確定"
"Error to Show in Shopping Cart","カートに表示するエラー"
"Excel","Excel"
"Excl. Tax","税別"
"Expired","期限切れ"
"Available","利用可能"
"Failed to cancel the billing agreement.","請求同意書のキャンセルに失敗しました。"
"Failed to create billing agreement for this order.","請求同意書の作成に失敗しました。"
"Failed to finish billing agreement wizard.","請求同意書ウィザードが完了できません。"
"Failed to send the order email.","注文メールの送信に失敗しました。"
"Failed to start billing agreement wizard.","請求同意書ウィザードの開始ができません。"
"Failed to update the payment.","Failed to update the payment."
"Failed to update the profile.","プロファイルの更新に失敗しました。"
"Failed to void the payment.","決済の取り消しに失敗しました"
"Fetch","フェッチ"
"From","開始"
"From Name","送信者"
"From:","開始:"
"G.T. (Base)","合計(総額)"
"G.T. (Purchased)","合計 (出荷済)"
"Get Payment Update","Get Payment Update"
"Get Update","Get Update"
"Get shipping methods and rates","配送方法と送料を取得する"
"Gift","ギフト"
"Gift Message","ギフトメッセージ"
"Gift Message for This Order","Gift Message for This Order"
"Gift Message for the Entire Order","Gift Message for the Entire Order"
"Gift Message for this Order","この注文のギフトメッセージ"
"Grand Total","合計"
"Grand Total to be Charged","Grand Total to be Charged"
"Guest","ゲスト"
"Hold","保留"
"Hold action is not available.","保留アクションは利用できません。"
"Hold order","注文保留"
"ID","ID"
"ID #","ID #"
"If empty, the default description above will be used.","空にするとデフォルトの概要メッセージが使用されます。"
"If empty, the default error above will be used.","空にするとデフォルトエラーが使用されます。"
"If the invoice was created offline, try creating an offline creditmemo.","オフラインで領収を作成している場合は、オフラインで返金伝票を作成してみてください。"
"Incl. Tax","税込み"
"Information","情報"
"Initial Fee","Initial Fee"
"Initial Fees","Initial Fees"
"Initial period payment","Initial period payment"
"Invalid block: %s.","Invalid block: %s."
"Invalid carrier specified.","不正な配送業者です。"
"Invalid draw line data. Please define ""lines"" array.","不正な行データです。""lines""を配列に定義して下さい。"
"Invalid item option format.","不正なオプションの形式です。"
"Invalid qty to invoice item ""%s""","商品領収に対して不正な数量 ""%s"""
"Invalid qty to refund item ""%s""","払戻に対して不正な数量 ""%s"""
"Invalid qty to ship for item ""%s""","配送に対して不正な数量 ""%s"""
"Invalid renderer model","不正な renderer model"
"Invalid request for adding product to quote.","不正な商品データです。"
"Invoice","領収"
"Invoice #","領収番号"
"Invoice # ","領収番号"
"Invoice #%1$s | %2$s | %4$s (%3$s)","Invoice #%1$s | %2$s | %4$s (%3$s)"
"Invoice #%s","領収番号%s"
"Invoice Comment Email Sender","領収コメントメール送信者"
"Invoice Comment Email Template","領収コメントメールテンプレート"
"Invoice Comment Email Template for Guest","ゲスト用の注文コメントメールテンプレート"
"Invoice Comments","領収コメント"
"Invoice Date","領収日"
"Invoice Email Sender","領収メール送信者"
"Invoice Email Template","領収メールテンプレート"
"Invoice Email Template for Guest","ゲスト用の領収メールテンプレート"
"Invoice Update","領収更新"
"Invoice Update for Guest","ゲスト用領収の更新"
"Invoice and Packing Slip Design","領収と納品書のデザイン"
"Invoice and Ship","領収と出荷"
"Invoice canceling problem.","領収のキャンセル中に問題が発生しました。"
"Invoice cannot be canceled.","領収をキャンセルできません。"
"Invoice cannot be captured.","領収を売上確定しました。"
"Invoice cannot be voided.","領収を無効にできません。"
"Invoice capturing problem.","Invoice capturing problem."
"Invoice void problem","領収取消エラー"
"Invoice will be created without communication with payment gateway.","領収は決済サーバと通信せずに作成されます。"
"Invoiced","領収済"
"Invoices","領収"
"Is Closed","Is Closed"
"Item","商品"
"Item Status","商品ステータス"
"Item object is not specified.","対象の商品が不明です。"
"Item options declaration error.","オプション定義エラー。"
"Item ordered qty","注文された商品数量"
"Item qty declaration error.","商品数量定義エラー"
"Items","Items"
"Items Invoiced","領収済個数"
"Items Ordered","注文済商品"
"Items Refunded","払戻された商品"
"Items Shipped","出荷済商品"
"Items maximum quantity or price do not allow checkout.","最大購入個数または金額が支払方法で許可されていません。"
"Items options declaration error.","Items options declaration error."
"Items to Refund","払戻商品"
"Items to Ship","配送する商品"
"Key","Key"
"Last Ordered Items","最近注文した商品"
"Link to the New Order","変更先の注文データ"
"Link to the Previous Order","編集元の注文データ"
"Logo for HTML Print View","HTML印刷用ロゴ"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","ロゴはHTML文書のみです。空にするとデフォルト値が使用されます。<br />(jpeg, gif, png)"
"Logo for PDF Print-outs (200x50)","PDF印刷用ロゴ(200x50)"
"Manage","管理"
"Maximum shipping amount allowed to refund is: %s","Maximum shipping amount allowed to refund is: %s"
"Message","メッセージ"
"Message:","メッセージ:"
"Minimum Amount","最低価格"
"Minimum Order Amount","最低注文可能価格"
"Mixed","完了"
"Move to Shopping Cart","ショッピングカートへ移動"
"Move to Wishlist","欲しいものリストへ移動"
"Multi-address Description Message","複数配送先で表示する説明文"
"Multi-address Error to Show in Shopping Cart","複数配送先でカートに表示するエラー"
"My Orders - Details","注文 - 詳細"
"N/A","N/A"
"Name","名前"
"Kana","カナ"
"New","新規"
"New Billing Agreement","新規請求同意書"
"New Credit Memo","新しいクレジットメモ"
"New Credit Memo for Guest","ゲスト用新しいクレジットメモ"
"New Invoice","新しい領収"
"New Invoice and Shipment for Order #%s","新しい領収と出荷伝票 #%s"
"New Invoice for Guest","ゲストの新しい領収"
"New Invoice for Order #%s","新しい領収 #%s"
"New Order","新しい注文"
"New Order Confirmation Email Sender","新規注文確認メール送信者"
"New Order Confirmation Template","新しい注文確認テンプレート"
"New Order Confirmation Template for Guest","ゲスト用新しい注文確認テンプレート"
"New Order RSS","新規注文 RSS"
"New Order for Guest","ゲスト用新規注文"
"New Shipment","新規配送"
"New Shipment for Guest","ゲスト用新規配送"
"New Shipment for Order #%s","新しい出荷伝票 #%s"
"Newsletter Subscription","ニュースレター購読"
"No Items","商品無し"
"No Items To Refund","払戻商品無し"
"No Payment Methods","支払方法なし"
"No detail for number ""%s""","番号 ""%s"" の詳細がありません"
"No information available.","No information available."
"No items","商品なし"
"No order(s) were put on hold.","保留中の注文はありません。."
"No order(s) were released from holding status.","保留ステータスから解放された注文データはありません。"
"No ordered items","注文商品はありません"
"No shipping information available","有効なお届け先情報がありません。"
"No valid transaction found for this payment review.","No valid transaction found for this payment review."
"Nominal Items","名目上の項目"
"Nominal item can be purchased standalone only. To proceed please remove other items from the quote.","Nominal item can be purchased standalone only. To proceed please remove other items from the quote."
"Nominal order registered.","名目上の注文を登録しました。"
"Not Capture","取込無し"
"Not Initialized","未初期化"
"Not Notified","通知なし"
"Not enough valid data to save the parent transaction ID.","Not enough valid data to save the parent transaction ID."
"Notification Not Applicable","通知対象はありません"
"Notified","通知済み"
"Notify Customer","お客さまに通知"
"Notify Customer by Email","メールでお客さまに通知"
"Number","数"
"Number of Invoiced Orders","領収済み注文件数"
"Number of Orders","注文数"
"Number of Refunded Orders","返金された注文の数"
"Offline Refunded","オフライン返金"
"On Hold","保留"
"Online Refunded","オンライン返金"
"Order","注文"
"Order #","注文番号"
"Order # ","注文番号 "
"Order # %s","注文番号 %s"
"Order # %s %s | %s","Order # %s %s | %s"
"Order #%s","注文番号 %s"
"Order #%s - %s","注文番号 %s - %s"
"Order API","注文API"
"Order Comment","注文コメント"
"Order Comment Email Sender","注文コメントメール送信者"
"Order Comment Email Template","注文コメントメールテンプレート"
"Order Comment Email Template for Guest","ゲスト用注文コメントメールテンプレート"
"Order Comments","注文コメント"
"Order Credit Memos","注文クレジットメモ"
"Order Currency:","注文通貨:"
"Order Date","注文日"
"Order Date (%s)","注文日付 (%s)"
"Order Date: ","注文日:"
"Order Date: %s","注文日: %s"
"Order Details","注文詳細"
"Order Grand Total","注文合計"
"Order History","注文履歴"
"Order ID","注文番号"
"Order Information","注文情報"
"Order Invoices","領収を発行する"
"Order Shipments","注文を配送する"
"Order Status","注文ステータス"
"Order Subtotal","小計"
"Order Total","合計"
"Order Totals","合計"
"Order Update","注文更新"
"Order Update for Guest","ゲストの注文を更新"
"Order View","注文ビュー"
"Order does not allow to be canceled.","注文データはキャンセルできません。"
"Order invoice","注文領収"
"Order object is not specified.","対象注文が不明です。"
"Order saving error: %s","注文の保存エラー: %s"
"Order shipments","注文を配送する"
"Order was placed using %s","「%s」にて注文"
"Ordered","注文済"
"Orders","注文"
"Original Price","定価"
"Original order item that recurring payment profile correspondss to.","Original order item that recurring payment profile correspondss to."
"PDF Credit Memos","PDFクレジットメモ"
"PDF Invoices","PDF領収"
"PDF Packingslips","出荷案内書PDF"
"PDF Print-outs","PDF印刷物"
"PDF object is not specified.","対象のPDFが不明です。"
"PDF page object is not specified.","対象のPDFページが不明です。"
"PDF total model should extend Mage_Sales_Model_Order_Pdf_Total_Default","PDF合計モデルオブジェクトは Mage_Sales_Model_Order_Pdf_Total_Default を継承する必要があります。"
"Packingslip # ","納品書 #"
"Paid","支払済"
"Paid Amount","支払額"
"Parent Transaction ID","親トランザクションID"
"Parent transaction ID must have a transaction ID.","元の取引IDは取引IDを持っている必要があります"
"Partial","部分的な"
"Payment Failed","支払失敗"
"Payment Information","支払情報"
"Payment Method","支払方法"
"Payment Method Name","Payment Method Name"
"Payment Method:","支払方法:"
"Payment Review","支払審査"
"Payment disallow storing objects.","支払失敗格納オブジェクト"
"Payment transactions disallow storing objects.","支払トランザクションは許可されていません。"
"Payment type","Payment type"
"Payment update has been made.","Payment update has been made."
"Pending Payment","未支払"
"Period","期間"
"Place Order Using Billing Agreements","請求同意書を使用して注文を確定できません。"
"Placed from IP","IPより認識"
"Please Select Products to Add","追加する商品を選択してください。"
"Please Select a Customer","お客さまを選択してください。"
"Please Select a Store","店舗を選択してください。"
"Please define PDF object before using.","Please define PDF object before using."
"Please enter positive number in this field.","このフィールドには使用可能な数字を入力してください。"
"Please specify a valid grid column alias name that exists in grid table.","Please specify a valid grid column alias name that exists in grid table."
"Print","印刷"
"Print All","すべて印刷"
"Print All Invoices","全ての領収を印刷する"
"Print All Refunds","すべての返金を印刷"
"Print All Shipments","すべての配送を印刷"
"Print Credit Memos","クレジットメモ印刷"
"Print Invoice","領収を印刷する"
"Print Invoices","領収印刷"
"Print Order","注文印刷"
"Print Order # %s","印刷注文 # %s"
"Print Packingslips","納品書を印刷"
"Print Refund","返金済みを印刷"
"Print Shipment","配送を印刷"
"Processing","処理中"
"Products","商品"
"Products Bestsellers Report","Products Bestsellers Report"
"Products in Comparison List","Products in Comparison List"
"Profile #%s","プロファイル #%s"
"Profile State","プロファイル状態"
"Profit","利益"
"Promotion Coupons Usage Report","クーポン使用状況レポート"
"Proper payment object must be set.","正しい決済オブジェクトが必要です。"
"Purchased From","購入元"
"Purchased From (Store)","出荷元（店舗）"
"Purchased Item","出荷された商品"
"Purchased On","購入日時"
"Qty Invoiced","領収済数量"
"Qty Ordered","注文数"
"Qty Shipped","出荷数"
"Qty To Add","追加数"
"Qty to Add","追加数"
"Qty to Invoice","領収数"
"Qty to Refund","払戻数"
"Qty to Ship","配送数"
"Quantity Ordered","注文数"
"Rate","レート"
"Recent Orders","最近の注文"
"Recently Compared Products","最近比較した商品"
"Recently Viewed","最近見られた"
"Recently Viewed Products","最近見られた商品"
"Recurring Profile # %s","定期購入番号 %s"
"Recurring Profile Initial Fee","定期購入初回支払額"
"Recurring Profiles","定期購入"
"Recurring Profiles (beta)","定期購入 (ベータ版)"
"Reference ID","参照ID"
"Reference ID:","参照ID:"
"Refresh","更新"
"Refund","払戻"
"Refund #","払戻 #"
"Refund #%s","払戻 #%s"
"Refund Amount","払戻量"
"Refund Offline","オフラインで返金"
"Refund Shipping","払戻配送"
"Refund Shipping (Excl. Tax)","Refund Shipping (Excl. Tax)"
"Refund Shipping (Incl. Tax)","Refund Shipping (Incl. Tax)"
"Refund Totals","返金合計"
"Refunded","返金されました"
"Refunded amount of %s offline.","%sをオフラインで返金しました。"
"Refunded amount of %s online.","%s がオフラインで返金されました。"
"Refunds","返金"
"Registered a Void notification.","取り消し通知を登録しました。"
"Registered notification about approved payment.","Registered notification about approved payment."
"Registered notification about authorized amount of %s.","オーソリ取得済み金額 %s に対する通知"
"Registered notification about captured amount of %s.","確定金額は %s です"
"Registered notification about denied payment.","Registered notification about denied payment."
"Registered notification about refunded amount of %s.","返金額は %s です"
"Registered update about approved payment.","Registered update about approved payment."
"Regular Payment","定期支払"
"Related Orders","関連する注文"
"Remove","削除"
"Remove Coupon Code","クーポンコードの削除"
"Remove tracking number","追跡番号を削除"
"Reorder","再注文"
"Retrieve invoice info","領収情報を取得"
"Retrieve invoice information","領収情報を取得"
"Retrieve list of invoices by filters","絞り込んだ領収リストを取得する"
"Retrieve list of orders by filters","検索条件による注文回収リスト"
"Retrieve list of shipments by filters","検索条件による配送回収リスト"
"Retrieve order information","注文情報を取得"
"Retrieve orders info","注文情報を回収"
"Retrieve shipment info","配送情報を回収"
"Retrieve shipment information","配送情報を取得"
"Return to Stock","在庫へ戻す"
"Returned","返品済"
"Revenue","利益"
"Row Subtotal","列小計"
"Row Total","小計"
"SHIP TO:","お届け先:"
"SOLD TO:","お客さま情報:"
"Sales","セールス"
"Sales Discount","Sales Discount"
"Sales Emails","セールスメール"
"Sales Emails Section","売上メール欄"
"Sales Invoice Print View","領収印刷ビュー"
"Sales Items","販売商品"
"Sales Discount","販売値引"
"Sales Order Print View","注文印刷画面"
"Sales Section","販売部門"
"Sales Shipment Print View","出荷伝票印刷画面"
"Sales Shipping","送料"
"Sales Tax","消費税"
"Sales Total","合計"
"Same As Billing Address","ご注文者住所と同じ"
"Save and Close Message","メッセージを保存して閉じる"
"Schedule","スケジュール"
"Select from existing customer addresses:","登録済のお客さまと住所から選択:"
"Send Credit Memo Comment Email Copy To","クレジットメモコメントメールのコピー送付先"
"Send Credit Memo Email Copy To","クレジットメモメールのコピー送付先"
"Send Email","メール送信"
"Send Invoice Comment Email Copy To","領収コメントメールのコピー送付先"
"Send Invoice Email Copy To","領収メールのコピー送付先"
"Send Order Comment Email Copy To","注文コメントメールのコピー送付先"
"Send Order Email Copy Method","注文メールのコピー送付方法"
"Send Order Email Copy To","注文メールのコピー送付先"
"Send Sales Emails","セールメールを送信する"
"Send Shipment Comment Email Copy To","出荷コメントメールのコピー送付先"
"Send Shipment Email Copy To","出荷メールのコピー送付先"
"Send Tracking Information","トラッキング情報を送信"
"Set order for existing transactions not allowed","既に存在するトランザクションを使用して注文することは許可されていません。"
"Ship","出荷"
"Ship To","お届け先"
"Ship to Name","お届先名"
"Shipment","出荷"
"Shipment #","出荷番号"
"Shipment #%1$s | %3$s (%2$s)","Shipment #%1$s | %3$s (%2$s)"
"Shipment #%s","出荷番号%s"
"Shipment Comment Email Sender","配送コメントメール送信者"
"Shipment Comment Email Template","配送コメントメールテンプレート"
"Shipment Comment Email Template for Guest","ゲスト用配送コメントメールテンプレート"
"Shipment Comments","出荷コメント"
"Shipment Email Sender","出荷メール送信者"
"Shipment Email Template","出荷メールテンプレート"
"Shipment Email Template for Guest","ゲスト用配送メールテンプレート"
"Shipment Update","出荷更新"
"Shipment Update for Guest","ゲストの配送を更新"
"Shipments","出荷"
"Shipped","出荷済"
"Shipped By","出荷元"
"Shipping","出荷中"
"Shipping & Handling","配送料"
"Shipping &amp; Handling","配送料と手数料"
"Shipping &amp; Handling Information","配送料と手数料情報"
"Shipping Address","お届け先"
"Shipping Amount","配送料金"
"Shipping Information","お届け先情報"
"Shipping Method","配送方法"
"Shipping Method:","配送方法:"
"Shipping Refund","配送払戻"
"Shipping and Tracking Information","配送と追跡情報"
"Signed Up From","登録元"
"Some of the products below do not have all the required options. Please remove them and add again with all the required options.","Some of the products below do not have all the required options. Please remove them and add again with all the required options."
"Sorry, no quotes are available for this order at this time.","申し訳ありません、現在品切れです。"
"Source object is not specified.","対象の発信元が不明です。"
"Specified profile does not exist.","指定したプロファイルは存在しません。"
"Status","ステータス"
"Status:","ステータス:"
"Store Credit","店舗クレジット"
"Submit Comment","コメント送信"
"Submit Credit Memo","クレジットメモ送信"
"Submit Order","注文送信"
"Submit Shipment","配送送信"
"Subscribe to Newsletter","ニュースレター購読"
"Subscribe to Order Status","注文ステータスを送信"
"Subtotal","小計"
"Subtotal after discount.","値引き後の小計。"
"Subtotal:","小計:"
"Suspected Fraud","詐欺の疑い"
"Suspend","一時停止"
"Suspended","一時停止"
"TAX/VAT Number","納税/付加価値税番号"
"Tax","税"
"Tax Amount","税金"
"Tax Percent","税率"
"The Order State ""%s"" must not be set manually.","注文状態 ""%s"" は手動で設定できません。"
"The address total model should be extended from Mage_Sales_Model_Quote_Address_Total_Abstract.","The address total model should be extended from Mage_Sales_Model_Quote_Address_Total_Abstract."
"The billing agreement ""%s"" has been canceled.","請求同意書番号""%s""はキャンセルされました。"
"The billing agreement ""%s"" has been created.","請求同意書番号""%s""が作成されました。"
"The coupon code has been accepted.","クーポンコードが受け入れられました。"
"The message has been sent.","メッセージが送信されました。"
"The message was sent.","メッセージが送信されました。"
"The order email has been sent.","注文メールが送信されました。"
"The order has been cancelled.","注文はキャンセルされました。"
"The order has been created.","注文情報を作成しました。"
"The order has been put on hold.","注文情報を保留に設定しました。"
"The order has been released from holding status.","保留ステータスを解除しました。"
"The order has not been cancelled.","注文はキャンセルされませんでした。"
"The order was not put on hold.","注文は保留状態になっていません。"
"The order was not unheld.","注文は保留解除されていません。"
"The order was placed using %s","この注文は %s を使用して作成されました"
"The order(s) cannot be canceled","この注文はキャンセルできません。"
"The payment has been accepted.","支払が受け入れられました。"
"The payment has been denied.","支払が拒否されました。"
"The payment has been voided.","支払は無効になりました。"
"The profile has been updated.","The profile has been updated."
"The profile has no changes.","The profile has no changes."
"The profile state has been updated.","プロファイル状態を更新しました。"
"The requested Payment Method is not available.","指定された決済方法は利用できません。"
"The transaction ""%s"" (%s) is already closed.","トランザクション ""%s"" (%s) は終了しています。"
"The transaction ""%s"" cannot be captured yet.","トランザクション ""%s"" は売上確定されていません。"
"There are no billing agreements yet.","請求同意書がありません。"
"There are no printable documents related to selected orders.","印刷可能な文書は選択した注文に関連付けられていません。"
"There is no need to approve this payment.","この決済方法はオーソリの必要がありません。"
"There is no need to deny this payment.","支払いを拒否する必要はありません。"
"There is no update for the payment.","There is no update for the payment."
"This message will be shown in shopping cart when subtotal after discount less than minimum amount.","値引後の小計が最小注文可能価格よりも低い場合、この説明文がカートに表示されます。"
"This operation requires an existing transaction object.","この処理は存在しているトランザクションオブジェクトが必要です。"
"This order contains (%s) items and therefore cannot be edited through the admin interface at this time, if you wish to continue editing the (%s) items will be removed, the order will be canceled and a new order will be placed.","This order contains (%s) items and therefore cannot be edited through the admin interface at this time, if you wish to continue editing the (%s) items will be removed, the order will be canceled and a new order will be placed."
"This order no longer exists.","この注文は存在しません。"
"This profile state cannot be changed to ""%s"".","このプロファイル状態を ""%s"" に変更することはできません。"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you wish to proceed?","This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you wish to proceed?"
"Tier Pricing","レート価格"
"Title","タイトル"
"To","終了"
"To Name","あて先"
"To:","終了:"
"Total","合計"
"Total %d product(s)","合計 %d 商品"
"Total (ex)","Total (ex)"
"Total (inc)","Total (inc)"
"Total Due","合計"
"Total Invoiced","請求済合計"
"Total Invoiced Paid","領収済合計"
"Total Invoiced VS Paid Report","請求と支払レポート"
"Total Invoiced not Paid","未領収額合計"
"Total Ordered Report","注文合計レポート"
"Total Paid","支払済合計"
"Total Qty","合計数量"
"Total Refund","返金額合計"
"Total Refunded","返金合計"
"Total Refunded Report","返金レポート"
"Total Sales Shipping","合計配送料金"
"Total Shipped Report","合計出荷レポート"
"Total Shipping","合計送料"
"Total Shipping Charges","配送料合計"
"Total Tax","合計税"
"Track Order","注文追跡"
"Track This Shipment","Track This Shipment"
"Track Your Order","Track Your Order"
"Track all shipment(s)","すべての配送を追跡"
"Track all shipments","すべての配送を追跡"
"Tracking","追跡中"
"Tracking Number","追跡番号"
"Tracking Number(s):","追跡番号:"
"Transaction ""%s"" was already processed.","トランザクション ""%s"" は既に処理中です。"
"Transaction ID","トランザクションID"
"Transaction ID must not be empty.","トランザクションIDが必要です。"
"Transaction ID: ""%s"".","トランザクションID: ""%s""."
