"# of Use","# 使用中"
"%1$s incl tax.","%1$s 税込"
"%s - %s","%s - %s"
"%s Item(s)","%sアイテム"
"%s and above","%s〜"
"Comparable on Front-end","フロントエンドで比較可能にする"
"Comparable on the Frontend","フロントエンドで比較可能にする"
"Compare","比較する"
"Compare Products","商品の比較"
"Conditions Combination","条件の組み合わせ"
"Configurable Product","親SKU商品"
"Configurable Product Settings","比較可能な商品設定"
"Copy From Configurable","親SKU商品からコピー"
"Country/State","都道府県"
"Create","作成"
"Create (Upload)","作成 (アップロード)"
"Create Empty","空を作成"
"Create Permanent Redirect for old URL","古いURLに対する恒久的なリダイレクトを作成する"
"Create Permanent Redirect for old URLs if Url key changed","URLキーが変更になると、古いURLに対するリダイレクトが作成されます。"
"Create Product Settings","商品設定を作成する"
"Create Simple Associated Product","子商品(SKU商品)を作成"
"Create new category","カテゴリの新規作成"
"Create new product","商品の新規作成"
"Cross-sells","推奨商品(抱き合わせ)"
"Currently Shopping by:","現在の絞込み条件："
"Custom Design","カスタムデザイン"
"Custom Options","カスタムオプション"
"Customers Reviews","お客さまレビュー"
"Customers Tagged Product","商品にタグ付けしているお客さま"
"Customers for alert %s were successfuly added to queue","お客さまへのお知らせ %s をキューに追加しました。"
"Data Type for Saving in Database","データタイプをデータベースに保存中です"
"Date & Time Custom Options","日付と時間のオプション"
"Date Fields Order","日付項目並び順"
"Date Subscribed","日付を予約しました"
"Datetime","日時"
"Decimal","数字"
"Declare attribute value saving scope","属性値の保存スコープを定義"
"Default Price","デフォルト価格"
"Default Qty","デフォルト数量"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","基本通貨の影響範囲を設定します(""Currency Setup"" > ""Currency Options"" > ""Base Currency"")."
"Delete Attribute","属性の削除"
"Delete Attribute Set","属性セットの削除"
"Delete Category","カテゴリの削除"
"Delete Option","オプションの削除"
"Delete Row","行の削除"
"Delete Search","検索の削除"
"Delete Selected Group","選択したグループの削除"
"Delete category","カテゴリの削除"
"Delete product","商品の削除"
"Depends on design theme","デザインテーマ依存"
"Design","デザイン"
"Details","詳細"
"Disabled","無効"
"Disallowed file type.","許可しない拡張子"
"Display in Suggested Terms","検索候補に表示"
"Double click on a group to rename it","ダブルクリックしてグループをリネームします"
"Double click on above image to view full picture","ダブルクリックすると大きな画像を表示します。"
"Duplicate","複製"
"Duplicate website tier price customer group and quantity.","ウェブサイトの価格階層設定をお客さまグループと数量で複製する"
"Duplicate website, country and state tax found.","ウェブサイト、国、税の重複があります。"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","例 {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}。 動的メディアURLの使用はカタログ表示速度に影響します。"
"Edit","編集"
"Edit Attribute Set '%s'","属性セット '%s' を編集"
"Edit Product Attribute","商品属性の編集"
"Edit Product Attribute ""%s""","商品属性 ""%s""を編集"
"Edit Search","検索の編集"
"Edit Search '%s'","検索 '%s'編集"
"Edit Set Name","セット名編集"
"Email to %s was not sent.","%sへのメールが送信されませんでした。"
"Email to a Friend","友達にメールする"
"Empty","空"
"Enable Qty Increments","数量の増分を有効にする"
"Enable WYSIWYG","WYSIWYGエディタを有効にする"
"Error during retrieval of option value: %s","オプションの値を取得中にエラーが発生しました: %s"
"Exclude","除外"
"Expand All","すべて展開"
"Failed","失敗"
"Failed to move file: %s","ファイルの移動に失敗しました。: %s"
"Feature Products","商品の特徴"
"Field is not complete","フィールドは完了していません"
"File options format is not valid.","ファイルオプションの形式が正しくありません。"
"File upload failed","ファイルアップロード失敗"
"Filter model name must be declared.","Filter model name must be declared."
"Filter must be an object. Please set correct filter.","Filter must be an object. Please set correct filter."
"Filterable (no results)","フィルタ可能 (結果なし)"
"Filterable (with results)","フィルタ可能 (結果あり)"
"Fixed","固定"
"For internal use.","システム内部でのみ使用する。"
"Frontend","フロントエンド"
"Frontend Model","フロントエンドモデル"
"Frontend Properties","フロントエンドプロパティ"
"Gallery","ギャラリー"
"General Information","全般"
"Get special price","特別価格を得る"
"Global","全般"
"Globally Editable","全体で編集可能"
"Go to Home Page","TOP PAGE"
"Grid","グリッド"
"Grouped Product","グループ商品"
"Groups","グループ"
"Home","TOP"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Product Name will be used","空白の場合は商品名が使用されます"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","店舗ごとのオプション値を設定しない場合はデフォルト値(Admin)が使用されます。"
"Image","画像"
"Image does not exist.","画像がありません。"
"Image file was not found.","画像ファイルが存在しません。"
"Image type and information need to be specified for each store view.","画像タイプと情報はそれぞれの店舗ビューで特定となる必要があります。"
"In Stock","在庫あり"
"In stock","在庫あり"
"Index product and categories URL rewrites","商品とカテゴリとURL書き換えのインデックス"
"Index product attributes for layered navigation building","階層ナビゲーション構築用商品属性のインデックス"
"Index product prices","商品価格インデックス"
"Indexed category/products association","カテゴリ/商品の関連インデックス"
"Info Column Options Wrapper","情報列オプションラッパー"
"Input Type","入力形式"
"Integer","整数"
"Invalid Tier Prices","不正な価格階層"
"Invalid attribute %s.","Invalid attribute %s."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Invalid attribute option specified for attribute %s (%s), skipping the record."
"Invalid attribute set specified, skipping the record.","無効な属性セットが指定されました。スキップします。"
"Invalid block: %s.","不正なブロックです: %s"
"Invalid category IDs.","不正なカテゴリIDです。"
"Invalid category.","不正なカテゴリです。"
"Invalid image file type.","不正な画像の形式です。"
"Invalid image type.","不正な画像形式です"
"Invalid option ID specified for %s (%s), skipping the record.","%s (%s)に不正なオプションIDが指定されました。対象のデータをスキップします。"
"Invalid product type specified, skipping the record.","不正な商品タイプが指定されました。対象のデータをスキップします。"
"Invalid store specified","不正な店舗特定"
"Invalid store specified, skipping the record.","Invalid store specified, skipping the record."
"Invalid tier prices. The product is not associated to the requested website.","Invalid tier prices. The product is not associated to the requested website."
"Invalid transactional email code.","Invalid transactional email code."
"Is Default","デフォルト値"
"Is Required","必須"
"Items %s to %s of %s total","%s件～%s件 (全%s件)"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","カタログ、検索結果に表示したくない商品は希望の店舗でステータスを""無効""にしてください。"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Label","ラベル"
"Last Notification","最終通知"
"Learn More","もっと知る"
"Line %d, Email: %s","ライン %d, メール: %s"
"Line %d, SKU: %s","ライン %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","推奨商品 (関連, 上位商品, 抱き合わせ)"
"Link product does not exist.","リンクする商品がありません。"
"Link to a Specified Category","特定のカテゴリにひもづける"
"Link to a Specified Product","指定商品にリンク"
"List","リスト"
"List Mode","リストモード"
"List of Products that are set as New","新商品リスト"
"Manage Attribute Sets","属性セット管理"
"Manage Attributes","属性管理"
"Manage Catalog Categories","カタログカテゴリ管理"
"Manage Categories","カテゴリ管理"
"Manage Label / Options","ラベル/オプション管理"
"Manage Options (values of your attribute)","オプション管理 (属性の値)"
"Manage Product Attributes","商品属性管理"
"Manage Product Sets","商品セット管理"
"Manage Products","商品管理"
"Manage Stock","在庫管理"
"Manage Titles (Size, Color, etc.)","タイトル管理(サイズ,色, etc.)"
"Max Characters","最大文字数"
"Maximal Depth","最大階層"
"Maximum Image Size","最大画像サイズ"
"Maximum Qty Allowed in Shopping Cart","カートに入る最大数量"
"Maximum image height","画像の最大高さ"
"Maximum image width","画像の最大幅"
"Maximum number of characters:","最大文字数:"
"Media Image","メディアイメージ"
"Minimum Lines per Page","ページあたりの最低行数"
"Minimum Qty Allowed in Shopping Cart","カートに入る最小数量"
"Minimum Qty for Item\'s Status to be Out of Stock","商品ステータスを在庫切れとする最低数量"
"Missing SKU, skipping the record.","Missing SKU, skipping the record."
"More Views","もっと見る"
"Move","移動"
"Move category in tree","カテゴリをツリー内で移動する"
"Must be in the allowed values list.","許可された値の範囲でなければいけません。"
"Name","名前"
"Name in %s","%sでの名称"
"New Category","新規カテゴリ"
"New Product","新規商品"
"New Product Attribute","新規商品属性"
"New Products","新商品"
"New Products Grid Template","新商品グリッドテンプレート"
"New Products List Template","新商品リストテンプレート"
"New Search","新規検索条件"
"New Set Name","新規セット名"
"Next","次へ"
"No image","画像なし"
"No layout updates","更新するレイアウトがありません"
"No layout updates.","レイアウトアップデートがありません。"
"No options of this product are available.","利用可能なオプションがありません。"
"No product collections found.","商品コレクション見つかりません。"
"None","なし"
"Not Visible Individually","非表示"
"Notify Low Stock RSS","在庫僅か通知RSS"
"Notify for Quantity Below","以下の数量以下になれば通知"
"Number of Products to Display","商品表示点数"
"Number of Uses","使用数"
"Number of results<br/>(For the last time placed)","結果件数<br/>(最終条件に基づく)"
"OR","または"
"Old Price:","旧価格:"
"Option validation failed to add product to cart.","Option validation failed to add product to cart."
"Option:","オプション:"
"Options Control","オプション管理"
"Options is required","必須のオプション"
"Our customer service is available 24/7. Call us at (555) 555-0123.","お客さまセンターは24時間年中無休です。 (555) 555-0123までお電話をお願いします。"
"Out of Stock","在庫切れ"
"Out of stock","在庫切れ"
"PM","PM"
"Page Title Separator","ページタイトルセパレータ"
"Parent Category","親カテゴリ"
"Pending Reviews RSS","レビュー待ちRSS"
"Percentage","割合"
"Please add rows to option.","オプションに列を加えてください。"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","列上でクリックしないように気をつけてください。選択されたパッケージデータフォームはロードされ、保存されていないフォームデータは失われてしまいます。"
"Please click on the Close Window button if it is not closed automatically.","自動でウインドウが閉じない場合は閉じるボタンをクリックしてください。"
"Please enter a new group name","新しいグループの名前を入力してください"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>"
"Please select a static block ...","Please select a static block ..."
"Please select items.","アイテムを選択してください。"
"Please select one or more attributes.","ひとつ以上の属性を選択してください"
"Please select product(s).","Please select product(s)."
"Please select products for attributes update","更新対象の商品属性を選択してください"
"Please specify date required option(s).","Please specify date required option(s)."
"Please specify the product required option(s)","商品の必須オプションを指定してください"
"Please specify the product required option(s).","商品の必須オプションを指定してください。"
"Please specify the product\'s option(s).","商品のオプションを指定してください。"
"Please specify the product\'s required option(s).","商品の必須オプションを指定してください。"
"Please specify the quantity of product(s).","商品の個数を指定してください。"
"Please specify time required option(s).","Please specify time required option(s)."
"Position","位置"
"Position in Layered Navigation","階層ナビゲーション内の位置"
"Position of attribute in layered navigation block","レイアウトナビゲーションブロックの位置属性"
"Prev","前へ"
"Previous","前へ"
"Price","価格"
"Price Type","価格タイプ"
"Price is not available","価格は利用できません"
"Price values for options should be specified in system base currency.","価格オプションはシステム基準通貨で指定する必要があります。"
"Price:","価格:"
"Print This Page","ページを印刷する"
"Product","商品"
"Product API","商品API"
"Product Alerts","商品アラート"
"Product Attribute","商品属性"
"Product Attributes","商品属性"
"Product Categories","商品カテゴリ"
"Product Description","商品の説明"
"Product Flat Data","商品フラットデータ"
"Product Image Placeholders","商品画像プレースホルダ"
"Product Image Watermarks","商品画像透かし"
"Product Images","商品画像"
"Product Images API","商品画像API"
"Product In Websites","ウェブサイト内の商品"
"Product Info Column","商品情報行"
"Product Information","商品情報"
"Product Link Block Template","商品リンクブロックテンプレート"
"Product Link Inline Template","商品インラインリンクテンプレート"
"Product Listing Sort by","商品リスト表示の表示順"
"Product Name","商品名"
"Product Prices","商品価格"
"Product Reviews","商品レビュー"
"Product Tags","商品タグ"
"Product Tier Price API","商品価格階層API"
"Product Type","商品タイプ"
"Product URL Suffix","商品URL拡張子"
"Product View Extra Hint","商品拡張表示ヒント"
"Product attribute sets API","商品属性セットAPI"
"Product attributes API","商品属性API"
"Product collection expected.","商品コレクションを想定しています。"
"Product links API (related, cross sells, up sells)","商品推奨API (関連, 抱き合わせ, 上位商品)"
"Product types API","商品タイプAPI"
"Product with this combination of attributes already associated to configurable.","この属性の組み合わせの商品はすでに作成されています"
"Products Comparison List","比較リスト"
"Products Information","商品情報"
"Products Reviews","商品レビュー"
"Products Sitemap","商品サイトマップ"
"Products only","商品のみ"
"Products per Page on Grid Allowed Values","商品グリッド表示で使用できる候補"
"Products per Page on Grid Default Value","商品グリッド表示のデフォルト値"
"Products per Page on List Allowed Values","商品リスト表示の表示件数候補"
"Products per Page on List Default Value","商品リスト表示でのデフォルト値"
"Properties","プロパティ"
"Qty","数量"
"Qty Increments","数量の増分"
"Qty Uses Decimals","数量に小数を使う"
"Qty for Item\'s Status to become Out of Stock","アイテムステータスのQty＊"
"Qty:","数量:"
"Quantity","個数"
"Quick Create","クイック作成"
"Quick Overview","商品の概要"
"Quick simple product creation","クイックSKU商品作成"
"Records for ""","""のレコード"
"Redirect","リダイレクト"
"Redirect URL","リダイレクトURL"
"Regular Price:","通常価格:"
"Related Products","推奨商品(関連)"
"Remove Product From Websites","Webサイトから商品を削除"
"Remove This Item","商品の削除"
"Remove product assignment","削除商品の割り当て"
"Remove product image","商品画像の削除"
"Remove product link","商品関連の削除"
"Reorganize EAV category structure to flat structure","EAVカテゴリストラクチャをフラットストラクチャに変換してください"
"Reorganize EAV product structure to flat structure","EAV商品ストラクチャをフラットストラクチャに変換してください"
"Reset","リセット"
"Results","結果"
"Retrieve attribute data","属性データを受け取る"
"Retrieve attribute list","属性リストの復元"
"Retrieve attribute options","属性オプションの復元"
"Retrieve categories tree","カテゴリーツリーを回復"
"Retrieve category attributes","カテゴリ属性の復元"
"Retrieve category data","カテゴリデータの復元"
"Retrieve hierarchical tree","階層ツリーの復元"
"Retrieve linked products","関連商品の復元"
"Retrieve list of assigned products","割り当て済み商品リストの復元"
"Retrieve one level of categories by website/store view/parent category","ウェブサイト/店舗 ビュー/親カテゴリの1階層カテゴリの復元"
"Retrieve product","商品の復元"
"Retrieve product attribute sets","商品属性セットの復元"
"Retrieve product image","商品画像の復元"
"Retrieve product image list","商品画像リストの復元"
"Retrieve product image types","商品画像タイプの復元"
"Retrieve product link type attributes","商品関連属性の復元"
"Retrieve product link types","商品関連タイプの復元"
"Retrieve product tier prices","商品価格階層の復元"
"Retrieve product types","商品タイプの復元"
"Retrieve products data","商品データを回復"
"Retrieve products list by filters","フィルタによる商品リス他の復元"
"Reviews","レビュー"
"Roll Over for preview","プレビューのロールオーバー"
"Root","ルート"
"Save Attribute","保存"
"Save Attribute Set","保存"
"Save Category","保存"
"Save Search","保存"
"Saved %d record(s)","%d件保存しました。"
"Scope","スコープ"
"Search Engine Optimizations","検索エンジン最適化"
"Search Information","検索情報"
"Search Query","検索条件"
"Search Term with such search query already exists.","その検索キーワードは既に存在しています。"
"Searchable","検索可能"
"Select Category...","カテゴリを選択..."
"Select Configurable Attributes ","設定可能な属性を選択"
"Select Product...","商品を選択..."
"Select type of option","オプションタイプの選択"
"Select type options required values rows.","価格の列を要求されたタイプオプションを選択"
"Selected Product Types","選択された商品タイプ"
"Selected configuration is not available.","選択した設定は利用できません。"
"Send Count","カウント送信"
"Set Ascending Direction","昇順"
"Set Descending Direction","降順"
"Set Name","セット名"
"Set Root Category for Store","店舗のルートカテゴリをセットしてください。"
"Set root category for this store in the <a href=""%s"">configuration</a>","この店舗のルートカテゴリを<a href=""%s"">設定</a>"
"Set special price","特別価格の設定"
"Set/Get current store view","現在の店舗を設定/取得"
"Settings","設定"
"Shop By","さらに..."
"Shopping Options","絞り込む"
"Show","表示"
"Show Details","詳細を見る"
"Show Tags","タグを見る"
"Simple Product","SKU商品"
"Site Map","サイトマップ"
"Sitemap","サイトマップ"
"Skip import row, is not valid value ""%s"" for field ""%s""","インポート業をスキップ、""%s""はフィールド""%s""で正しい値ではありません"
"Skip import row, required field ""%s"" for the new customer is not defined.","Skip import row, required field ""%s"" for the new customer is not defined."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Skip import row, the value ""%s"" is invalid for field ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Skipping import row, required field ""%s"" for new products is not defined."
"Skipping import row, required field ""%s"" is not defined.","必須フィールド""%s""が定義されていないため該当行の取り込みをスキップします。"
"Skipping import row, store ""%s"" field does not exist.","フィールド ""%s"" が存在しないため、行をスキップします。"
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","値""%s""はフィールド ""%s"" に対して不正なので行をスキップします。"
"Some of the products below do not have all the required options. Please remove them and add again with all the required options.","Some of the products below do not have all the required options. Please remove them and add again with all the required options."
"Sort By","表示順"
"Sort Order","並び順"
"Source Model","ソースモデル"
"Special Price:","特別価格:"
"Starting at:","開始日:"
"Static","静的"
"Static block and products","静的ブロックと商品"
"Static block only","静的ブロックのみ"
"Stock Availability","在庫の有無"
"Store","店舗"
"Store View","店舗ビュー"
"Stretch","拡大"
"Subscribe to RSS Feed","RSSフィードを購読する"
"Super product attributes configuration","親商品の属性を設定"
"Synonym For","別名"
"System Properties","システムプロパティ"
"Tag Name","タグ名"
"Tax","税"
"Template","テンプレート"
"Text","テキスト"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module.","The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module."
"The attribute model is not defined","属性モデルが未定義です。"
"The attribute set has been saved.","属性セットを保存しました。"
"The base directory to upload image file is not specified.","アップロード画像ファイルのベースディレクトリが指定されていません。"
"The category has been deleted.","カテゴリを削除しました。"
"The category has been saved.","カテゴリを保存しました。"
"The comparison list was cleared.","比較リストをクリアしました。"
"The email template is not specified by administrator.","The email template is not specified by administrator."
"The filters must be an array.","The filters must be an array."
"The image contents is not valid base64 data.","The image contents is not valid base64 data."
"The image is not specified.","The image is not specified."
"The product %s has been added to comparison list.","%sを比較リストに追加しました。"
"The product %s has been removed from comparison list.","%sを比較リストから削除しました。"
"The product attribute has been deleted.","商品属性を削除しました。"
"The product attribute has been saved.","商品属性を保存しました。"
"The product has been created.","商品を作成しました。"
"The product has been deleted.","商品を削除しました。"
"The product has been duplicated.","商品が重複しています。"
"The product has been saved.","商品を保存しました。"
"The product has required options","この商品には必須オプションがあります。"
"The review has been deleted","レビューを削除しました。"
"The review has been saved.","レビューを保存しました。"
"The review was removed by another user or does not exist.","レビューがほかのユーザーによって削除されたか、または存在していません。"
"The search was deleted.","検索キーワードを削除しました。"
"The text is too long","テキストが長すぎます"
"There are no %s available.","%sは利用できません。"
"There are no customers for this alert","このアラートにお客さまは登録されていません。"
"There are no customers for this alert.","There are no customers for this alert."
"There are no products matching the selection.","条件にマッチする商品はありません。"
"This Attribute no longer exists","属性は存在しません"
"This attribute cannot be deleted.","この属性は削除されません。"
"This attribute cannot be edited.","この属性は変更できません。"
"This attribute cannot be updated.","属性を更新できません。"
"This attribute is used in configurable products. You cannot remove it from the attribute set.","この属性は親SKU商品で使用されているため、属性セットから削除できません。"
"This attribute no longer exists","この属性は存在していません。"
"This attribute set no longer exists.","属性セットが存在していません。"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","このグループは設定できる商品の中で使われた属性を含んでいます。これらの属性を他のグループに移し、もう一度試してください。"
"This group contains system attributes. Please move system attributes to another group and try again.","グループはシステム属性を含んでいます。システム属性を他のグループに移した後にやり直してください。"
"This is a required option","必須項目です"
"This product no longer exists.","This product no longer exists."
"This search no longer exists.","この検索キーワードは存在していません。"
"Tier Pricing","価格層"
"Tile","タイル"
"Time Format","時間のフォーマット"
"To reindex the enabled product(s), the store or product must be specified.","To reindex the enabled product(s), the store or product must be specified."
"Top/Left","上/左"
"Top/Right","上/右"
