"Shipment Comments","出荷コメント"
"Shipment History","発送履歴"
"Shipping method selection is not applicable","配送分類選択は適用されません。"
"Show By","Show By"
"Show Report For","Show Report For"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","注文された中の幾つかの商品は送り状や配送方法が違います。送り状が作成されなければ発送することができません。＊"
"Spreadsheet Name:","表計算名:"
"Start Date","開始日付"
"Start/Reset Validation...","検証の開始/リセット..."
"State/Province:","都道府県"
"Stock Quantity:","ストック量:"
"Store:","店舗:"
"Switch/Solo card issue number: %s","スウィッチ/ソロカード 発行ナンバー: %s"
"Switch/Solo card start Date: %s/%s","スウィッチ/ソロカード　発行日: %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","スウィッチ/ソロ/マエストロ(UK国内) のみ"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","スウィッチ/ソロ/マエストロ(UK国内) 発行ナンバー: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s"," スウィッチ/ソロ/マエストロ(UK国内)カード 開始日: %s/%s"
"Target","ターゲット"
"The card has failed verification with the issuer bank.","このカード番号は発行元での認証に失敗しました。"
"The information in this tab has been changed.","このタブの情報は変更されました。"
"There has been wrong payment information submitted or time limit has expired. Please, try again.","There has been wrong payment information submitted or time limit has expired. Please, try again."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","これはデモ店舗です。実際に請求されることはありません。"
"This is a required field.","これは要求されたフィールドです。"
"This tab contains invalid data. Please solve the problem before saving.","このタブは無効なデータを含みます。保存する前に問題を解決してください。"
"Thumbnail","サムネイル"
"Time selection:","時間選択:"
"Time:","時間:"
"To","To"
"Top 5 Search Terms","上位５位検索用語"
"Track Order","注文追跡"
"Track this shipment","この荷物を追跡する"
"Transaction Data","トランザクションデータ"
"Transaction Details","トランザクション詳細"
"Transaction ID","トランザクションID"
"Transaction Type","トランザクション種別"
"Type:","タイプ:"
"Unable to login.","ログインできません"
"Unselect All","全て選択解除"
"Unselect Visible","表示中を選択解除"
"Use Default Value","デフォルト値を使用"
"User","ユーザー"
"User Name","ユーザーネーム"
"User Roles","ユーザーの役割"
"User name","ユーザーネーム"
"Users","ユーザー"
"Value Delimiter:","価格範囲:"
"Verification Failed","認証失敗"
"Verification Successful","認証成功"
"Verification cannot be processed","検証できません"
"View Statistics For","統計を表示する"
"Visibility:","可視性＊:"
"Warning! Empty value can cause problems with CSV format.","警告!　値の未入力はCSVフォーマット上で問題を起こす可能性があります。"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","注意！\r\nこの操作は権限に割り当てられているユーザーを削除します\r\n実行しますか？"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","警告!この動作はすでに割り当てられた役割からユーザーを削除します\r\n本当にいいですか?"
"We detected that your JavaScript seem to be disabled.","お使いのブラウザではJavaScriptが無効になっているようです。"
"Web Services","ウェブサービス"
"You have","You have"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","このWebサイトの機能をご利用いただくには、JavaScriptを有効にしていただく必要があります。"
"Your account has been deactivated.","お客さまのアカウントは有効になっていません。"
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","お客さまのPHPサーバーは一度に最大%sアップロード可能です。より大きなファイルをアップロードしたい場合は、php.iniの中にあるpost_max_size(現在は%s)と upload_max_filesize (現在は%s) の値を修正してください。"
"Zip/Postal Code:","郵便番号:"
"critical","クリティカル"
"images/logo.gif","images/logo.gif"
"items selected","件選択中"
"major","メジャー"
"minor","マイナー"
"notice","警告"
"to","＊"
"Default Response Charset","デフォルト応答文字セット"
"Magento Core API","Magento コア API"
"WS-I Compliance","WS−I準拠"
"Magento Core API Section","MagentoコアAPIセクション"
