"%s was added to your shopping cart.","%sをショッピングカートに追加しました。"
"Add New Address","住所を追加"
"Payment method is not defined","支払方法が定義されていません"
"Payment profile # %s: ""%s"".","決済プロファイル No.%s: ""%s""."
"Place Order","注文を確定する"
"Please agree to all Terms and Conditions before placing the order.","注文前にご一読ください。"
"Please agree to all Terms and Conditions before placing the orders.","注文前にご一読ください。"
"Please agree to all the terms and conditions before placing the order.","注文前にすべての請求同意書にご同意ください。"
"Please log in below:","こちらからログインしてください:"
"Please select shipping address for applicable items","お届け先を選択してください。"
"Please select shipping methods for all addresses","すべての住所への配送方法を選択してください"
"Proceed to Checkout","レジに進む"
"Quote Lifetime (days)","カートの保存期間(日)"
"Recently added item(s)","最近追加した商品"
"Register","新規登録"
"Register and save time!","登録すると手続きが簡単に!"
"Register to Create an Account","アカウントを作成するために登録"
"Register with us for future convenience:","登録のメリット"
"Remove Item","商品削除"
"Remove This Item","この商品を削除する"
"Review Order","注文のレビュー"
"Review Order - %s","注文のレビュー - %s"
"Sales","販売額"
"Save Condition","条件を保存"
"Save in address book","住所録に保存"
"Select Address","住所選択"
"Select Addresses","住所選択"
"Select Shipping Method","配送方法を選択"
"Select State/Province...","州 / 県を選択してください。。"
"Select a billing address from your address book or enter a new address.","住所録からご注文者住所を選択するか、新しい住所を入力してください。"
"Select a shipping address from your address book or enter a new address.","お届け先を住所録から選択するか、新しい住所を入力してください。"
"Send Payment Failed Email Copy Method","支払失敗コピーメール送付方法"
"Send Payment Failed Email Copy To","支払失敗コピーメール送付先"
"Send To","お届け先"
"Separate by "","".","カンマ区切り"
"Ship to Multiple Addresses","複数の住所へ送る"
"Ship to different address","別の住所へ送る"
"Ship to this address","この住所へ送る"
"Shipping To","お届け先"
"Shipping method has not been selected yet","配送方法が選択されていません"
"Shipping selection is not applicable.","送料の選択が正しくありません。"
"Shopping Cart","ショッピングカート"
"Shopping Cart Form Before","ショッピングカートフォームの前"
"Shopping Cart Sidebar","ショッピングカートサイドバー"
"Shopping Cart is Empty","カートの中を見る"
"Show Content as","内容の提示"
"Some of the requested products are not available in the desired quantity.","いくつかの商品でご希望いただいた数の在庫がありません。"
"Some of the requested products are unavailable.","ご希望の商品のいくつかはご利用いただけません。"
"Store View","店舗ビュー"
"Street Address %s","番地 %s"
"Submitting order information...","注文情報を送信中です。。。"
"Subtotal","小計"
"Terms and Conditions","契約条件"
"Terms and Conditions Information","契約条件情報"
"Terms and conditions","契約条件"
"Text","テキスト"
"Thank you for your purchase!","商品をご購入いただき、ありがとうございました。"
"The condition has been deleted","条件を削除しました。"
"The condition has been saved.","条件を保存しました。"
"The onepage checkout is disabled.","ワンページチェックアウトは無効です。"
"The product could not be found.","商品が見つかりません。"
"The product does not exist.","商品が見つかりません。"
"There are <a href=""%s"">%s items</a> in your cart.","<a href=""%s"">%s個</a>の商品がカートに入っています。"
"There is <a href=""%s"">1 item</a> in your cart.","<a href=""%s"">1個</a>の商品がカートに入っています。"
"There was an error processing your order. Please contact us or try again later.","注文の処理中にエラーが発生しました。やり直してください。"
"This condition no longer exists.","この条件は存在しません。"
"Total for this address","この住所への合計"
"Unable to set Payment Method.","決済方法をセットできません。"
"Unit Price","単価"
"Update Qty &amp; Addresses","数量&amp;住所の更新"
"Update Shopping Cart","ショッピングカートを更新"
"Update Total","合計更新"
"Use Billing Address","ご注文者住所を使う"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","注文を処理しています、注文の詳細をメールでお送りします。また、注文が発送されると発送状況を確認できるURLを付けてもメールをお送ります。"
"You have no items in your shopping cart.","現在、カートには商品が入っておりません。"
"<br />To use your points, please log in","<br />ポイント制度をご利用になられる場合は、お客さま登録後ログインしていだだきますようお願い致します。"
"You will receive an order confirmation email with details of your order and a link to track its progress.","ただいま、ご注文の確認メールをお送りさせていただきました。<br />万一、ご確認メールが届かない場合は、トラブルの可能性もありますので大変お手数ではございますが、<br />もう一度お問い合わせいただくか、お電話にてお問い合わせくださいませ。<br />今後ともご愛顧賜りますようよろしくお願い申し上げます。"
"Your Checkout Progress","進行状況"
"Your billing agreement # is: %s.","お客さまの請求同意書番号は %s です。"
"Your order # is: %s.","お客さまの注文番号は %s です。"
"Your order has been received","ご注文完了"
"Your order has been received.","ご注文を承りました。"
"Your order number is ","お客さまの注文番号は"
"Your recurring payment profiles:","定期購入:"
"osCommerce Orders","osCommerce注文情報"
"Edit item parameters","アイテムの編集"
"Update Cart","カート更新"
"Select Shipping Method.","出荷方法を選択してください。"
"Some products quantities were recalculated because of quantity increment mismatch","購入数量単位が不正なため、数量の調整が行われました。"
"Quantity was recalculated from %d to %d","数量は%dから%dに調整されました。"
